mc	mn	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	-3	2/4	1/2	0						firstMeasure	2
2	2	-3	2/4	1/2	0							3
3	3	-3	2/4	1/2	0					line		4
4	4	-3	2/4	1/2	0							5
5	5	-3	2/4	1/2	0							6
6	6	-3	2/4	1/2	0					line		7
7	7	-3	2/4	1/2	0							8
8	8	-3	2/4	1/2	0							9
9	9	-3	2/4	1/2	0					line		10
10	10	-3	2/4	1/2	0							11
11	11	-3	2/4	1/2	0							12
12	12	-3	2/4	1/2	0					line		13
13	13	-3	2/4	1/2	0							14
14	14	-3	2/4	1/2	0							15
15	15	-3	2/4	1/2	0					page		16
16	16	-3	2/4	1/2	0							17
17	17	-3	2/4	1/2	0							18
18	18	-3	2/4	1/2	0					line		19
19	19	-3	2/4	1/2	0							20
20	20	-3	2/4	1/2	0							21
21	21	-3	2/4	1/2	0					line		22
22	22	-3	2/4	1/2	0							23
23	23	-3	2/4	1/2	0							24
24	24	-3	2/4	1/2	0							25
25	25	-3	2/4	1/2	0					line		26
26	26	-3	2/4	1/2	0							27
27	27	-3	2/4	1/2	0							28
28	28	-3	2/4	1/2	0							29
29	29	-3	2/4	1/2	0					line		30
30	30	-3	2/4	1/2	0							31
31	31	-3	2/4	1/2	0							32
32	32	-3	2/4	1/2	0							33
33	33	-3	2/4	1/2	0					page		34
34	34	-3	2/4	1/2	0							35
35	35	-3	2/4	1/2	0							36
36	36	-3	2/4	1/2	0					line		37
37	37	-3	2/4	1/2	0							38
38	38	-3	2/4	1/2	0							39
39	39	-3	2/4	1/2	0					line		40
40	40	-3	2/4	1/2	0							41
41	41	-3	2/4	1/2	0							42
42	42	-3	2/4	1/2	0					line		43
43	43	-3	2/4	1/2	0							44
44	44	-3	2/4	1/2	0							45
45	45	-3	2/4	1/2	0					line		46
46	46	-3	2/4	1/2	0							47
47	47	-3	2/4	1/2	0							48
48	48	-3	2/4	1/2	0					page		49
49	49	-3	2/4	1/2	0							50
50	50	-3	2/4	1/2	0							51
51	51	-3	2/4	1/2	0							52
52	52	-3	2/4	1/2	0					line		53
53	53	-3	2/4	1/2	0							54
54	54	-3	2/4	1/2	0							55
55	55	-3	2/4	1/2	0					line		56
56	56	-3	2/4	1/2	0							57
57	57	-3	2/4	1/2	0							58
58	58	-3	2/4	1/2	0					line		59
59	59	-3	2/4	1/2	0							60
60	60	-3	2/4	1/2	0							61
61	61	-3	2/4	1/2	0							62
62	62	-3	2/4	1/2	0					line		63
63	63	-3	2/4	1/2	0							64
64	64	-3	2/4	1/2	0							65
65	65	-3	2/4	1/2	0				end		lastMeasure	-1
