mc	mn	keysig	timesig	act_dur	offset	repeats	volta	barline	numbering_offset	dont_count	next
1	0	-3	4/4	1/8	7/8	firstMeasure		double		1	2
2	1	-3	4/4	1	0						3
3	2	-3	4/4	1	0						4
4	3	-3	4/4	1	0						5
5	4	-3	4/4	1	0						6
6	5	-3	4/4	1	0						7
7	6	-3	4/4	1	0						8
8	7	-3	4/4	1	0						9
9	8	-3	4/4	1	0						10
10	9	-3	4/4	1	0						11
11	10	-3	4/4	1	0						12
12	11	-3	4/4	1	0						13
13	12	-3	4/4	1	0						14
14	13	-3	4/4	1	0						15
15	14	-3	4/4	1	0						16
16	15	-3	4/4	1	0						17
17	16	-3	4/4	1	0						18
18	17	-3	4/4	1	0						19
19	18	-3	4/4	1	0						20
20	19	-3	4/4	1	0						21
21	20	-3	4/4	1	0						22
22	21	-3	4/4	1	0						23
23	22	-3	4/4	1	0						24
24	23	-3	4/4	1	0						25
25	24	-3	4/4	1	0						26
26	25	-3	4/4	1	0						27
27	26	-3	4/4	1	0						28
28	27	-3	4/4	1	0						29
29	28	-3	4/4	1	0						30
30	29	-3	4/4	1	0						31
31	30	-3	4/4	1	0						32
32	31	-3	4/4	1	0						33
33	32	-3	4/4	1	0						34
34	33	-3	4/4	1	0						35
35	34	-3	4/4	1	0						36
36	35	-3	4/4	1	0						37
37	36	-3	4/4	1	0						38
38	37	-3	4/4	1	0						39
39	38	-3	4/4	1	0						40
40	39	-3	4/4	1	0						41
41	40	-3	4/4	1	0						42
42	41	-3	4/4	1	0						43
43	42	-3	4/4	1	0						44
44	43	-3	4/4	1	0						45
45	44	-3	4/4	1	0						46
46	45	-3	4/4	1	0						47
47	46	-3	4/4	1	0						48
48	47	-3	4/4	3/4	0	lastMeasure		end			-1
