mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	2.0	0	0	4/8	2	1	c.VIM7{		c	i		VIM7		VI	M	7				{	MM7	1	1	-4, 0, -3, 1		-4	-4
2	2	2	1.5	0	0	4/8	2	1	V65(b5+b3)/V	Fr65(+b3)	c	i		V65(b5+b3)/V		V		65	b5+b3	V			Mm7	1	1	6, -4, 0, 2	-1	2	6
2	2	7/2	0.5	3/8	3/8	4/8	2	1	V7(b9)/V		c	i		V7(b9)/V		V		7	b9	V			Mm7	1	1	2, 6, 3, 0	-3	2	2
3	3	4	1.0	0	0	4/8	2	1	V7		c	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
3	3	5	4.5	1/4	1/4	4/8	2	1	i|PAC}		c	i		i		i					PAC	}	m	1	1	0, -3, 1		0	0
4	4	15/2	0.0	3/8	3/8	4/8	2	1	{		c	i										{		1	1				
5	5	19/2	0.5	3/8	3/8	4/8	2	1	V7		c	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
6	6	10	1.5	0	0	4/8	2	1	i		c	i		i		i							m	1	1	0, -3, 1		0	0
6	6	23/2	0.5	3/8	3/8	4/8	2	1	V		c	i		V		V							M	1	1	1, 5, 2		1	1
7	7	12	1.5	0	0	4/8	2	1	iv64		c	i		iv64		iv		64					m	1	1	0, -1, -4		-1	0
7	7	27/2	1.0	3/8	3/8	4/8	2	1	iv43	iv2	c	i		iv43		iv		43					mm7	1	1	0, -3, -1, -4		-1	0
8	8	29/2	1.5	1/8	1/8	4/8	2	1	V7		c	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
9	9	16	1.5	0	0	4/8	2	1	i[V7		c	i	i	V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
