mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	4/8	2	1		c.VIM7{	c	i		VIM7		VI	M	7				{	MM7	1	1	-4, 0, -3, 1		-4	-4
2	2	0	0	4/8	2	1		V65(b9)/V	c	i		V65(b9)/V		V		65	b9	V			Mm7	1	1	6, 3, 0, 2	-3	2	6
2	2	1/8	1/8	4/8	2	1		V65/V	c	i		V65/V		V		65		V			Mm7	1	1	6, 3, 0, 2		2	6
2	2	3/8	3/8	4/8	2	1		V7(b9)/V	c	i		V7(b9)/V		V		7	b9	V			Mm7	1	1	2, 6, 3, 0	-3	2	2
3	3	0	0	4/8	2	1		V7	c	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
3	3	1/4	1/4	4/8	2	1		i}	c	i		i		i						}	m	1	1	0, -3, 1		0	0
4	4	3/8	3/8	4/8	2	1		{	c	i										{		1	1				
5	5	3/8	3/8	4/8	2	1		V7	c	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
6	6	0	0	4/8	2	1		i	c	i		i		i							m	1	1	0, -3, 1		0	0
6	6	1/8	1/8	4/8	2	1		i64(6)	c	i		i64(6)		i		64	6				m	1	1	-4, 0, -3		0	-4
6	6	1/4	1/4	4/8	2	1		i	c	i		i		i							m	1	1	0, -3, 1		0	0
6	6	3/8	3/8	4/8	2	1		V	c	i		V		V							M	1	1	1, 5, 2		1	1
7	7	0	0	4/8	2	1		iv64	c	i		iv64		iv		64					m	1	1	0, -1, -4		-1	0
7	7	3/8	3/8	4/8	2	1		iv2	c	i		iv2		iv		2					mm7	1	1	-3, -1, -4, 0		-1	-3
8	8	0	0	4/8	2	1		iv64	c	i		iv64		iv		64					m	1	1	0, -1, -4		-1	0
8	8	1/8	1/8	4/8	2	1		V7	c	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
9	9	0	0	4/8	2	1		i[V7	c	i	i	V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
9	9	3/8	3/8	4/8	2	1		#viio7	c	i	i	#viio7		#vii	o	7					o7	1	1	5, 2, -1, -4		5	5
10	10	0	0	4/8	2	1		V7(b9)	c	i	i	V7(b9)		V		7	b9				Mm7	1	1	1, 5, 2, -1	-11	1	1
10	10	3/8	3/8	4/8	2	1		i]	c	i	i	i		i							m	1	1	0, -3, 1		0	0
11	11	1/4	1/4	4/8	2	1		ii%65	c	i		ii%65		ii	%	65					%7	1	1	-1, -4, 0, 2		2	-1
12	12	1/8	1/8	4/8	2	1		V(4)}	c	i		V(4)		V			4			}	M	1	1	1, 0, 2		1	1
